domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,performance_ratio,bound,C2_sum,tightness,C1_mps,rho,mps_ratio
GraphColouring,0001-graph_colouring-125-0_4800.asp,10003,2677,3.736645,13.96252,52.172986,0.26762,0.07162,0.019167,0.025092,0.782265,0.0,0.949815,1801,0.192542,0.782365,0.782365,AMOCLINGO-L,52.03731,15.597319365662829,4800.0,1880.0,2.5531914893617023,1280.0,0.6808510638297872,3.75
GraphColouring,0001-graph_colouring-125-0_6000.asp,10003,2677,3.736645,13.96252,52.172986,0.26762,0.07162,0.019167,0.025092,0.782265,0.0,0.949815,1801,0.192542,0.782365,0.782365,AMOCLINGO-L,0.752167,2.527328372555562,6000.0,1880.0,3.1914893617021276,1280.0,0.6808510638297872,4.6875
GraphColouring,0002-graph_colouring-125-0_2400.asp,10279,2723,3.774881,14.249724,53.791007,0.264909,0.070177,0.01859,0.024419,0.783637,0.0,0.951163,1847,0.191847,0.783734,0.783734,AMOCLINGO-L,38.537859000000005,31.267643228441933,2400.0,1880.0,1.2765957446808511,1280.0,0.6808510638297872,1.875
GraphColouring,0002-graph_colouring-125-0_4800.asp,10279,2723,3.774881,14.249724,53.791007,0.264909,0.070177,0.01859,0.024419,0.783637,0.0,0.951163,1847,0.191847,0.783734,0.783734,AMOCLINGO-L,34.543738000000005,23.49116522942595,4800.0,1880.0,2.5531914893617023,1280.0,0.6808510638297872,3.75
GraphColouring,0002-graph_colouring-125-0_6000.asp,10279,2723,3.774881,14.249724,53.791007,0.264909,0.070177,0.01859,0.024419,0.783637,0.0,0.951163,1847,0.191847,0.783734,0.783734,AMOCLINGO-L,0.766986,2.496496676601659,6000.0,1880.0,3.1914893617021276,1280.0,0.6808510638297872,4.6875
GraphColouring,0003-graph_colouring-125-0_2400.asp,9571,2605,3.674088,13.498925,49.596241,0.272176,0.07408,0.020163,0.026225,0.77996,0.0,0.94755,1729,0.19371,0.780065,0.780065,AMOCLINGO-L,107.229864,11.235277123917642,2400.0,1880.0,1.2765957446808511,1280.0,0.6808510638297872,1.875
GraphColouring,0003-graph_colouring-125-0_4800.asp,9571,2605,3.674088,13.498925,49.596241,0.272176,0.07408,0.020163,0.026225,0.77996,0.0,0.94755,1729,0.19371,0.780065,0.780065,AMOCLINGO-L,70.845067,17.0085356542891,4800.0,1880.0,2.5531914893617023,1280.0,0.6808510638297872,3.75
GraphColouring,0003-graph_colouring-125-0_6000.asp,9571,2605,3.674088,13.498925,49.596241,0.272176,0.07408,0.020163,0.026225,0.77996,0.0,0.94755,1729,0.19371,0.780065,0.780065,AMOCLINGO-L,0.758463,2.675462085823567,6000.0,1880.0,3.1914893617021276,1280.0,0.6808510638297872,4.6875
GraphColouring,0004-graph_colouring-125-0_2400.asp,10123,2697,3.75343,14.088235,52.879199,0.266423,0.070981,0.018911,0.024795,0.782871,0.0,0.95041,1821,0.192236,0.782969,0.782969,AMOCLINGO-L,52.182255,23.091084622540745,2400.0,1880.0,1.2765957446808511,1280.0,0.6808510638297872,1.875
GraphColouring,0004-graph_colouring-125-0_4800.asp,10123,2697,3.75343,14.088235,52.879199,0.266423,0.070981,0.018911,0.024795,0.782871,0.0,0.95041,1821,0.192236,0.782969,0.782969,AMOCLINGO-L,34.040725,35.39771879124196,4800.0,1880.0,2.5531914893617023,1280.0,0.6808510638297872,3.75
GraphColouring,0004-graph_colouring-125-0_6000.asp,10123,2697,3.75343,14.088235,52.879199,0.266423,0.070981,0.018911,0.024795,0.782871,0.0,0.95041,1821,0.192236,0.782969,0.782969,AMOCLINGO-L,0.744334,2.4502253020821296,6000.0,1880.0,3.1914893617021276,1280.0,0.6808510638297872,4.6875
GraphColouring,0005-graph_colouring-125-0_4800.asp,9895,2659,3.721324,13.848251,51.533826,0.268722,0.072211,0.019405,0.025366,0.781708,0.0,0.949267,1783,0.192825,0.781809,0.781809,AMOCLINGO-L,71.30514099999999,16.89847818967219,4800.0,1880.0,2.5531914893617023,1280.0,0.6808510638297872,3.75
GraphColouring,0005-graph_colouring-125-0_6000.asp,9895,2659,3.721324,13.848251,51.533826,0.268722,0.072211,0.019405,0.025366,0.781708,0.0,0.949267,1783,0.192825,0.781809,0.781809,AMOCLINGO-L,0.7556689999999999,3.169678787934929,6000.0,1880.0,3.1914893617021276,1280.0,0.6808510638297872,4.6875
GraphColouring,0006-graph_colouring-125-0_2400.asp,10027,2681,3.740022,13.987767,52.314563,0.267378,0.071491,0.019115,0.025032,0.782388,0.0,0.949935,1805,0.19248,0.782487,0.782487,AMOCLINGO-L,524.749799,2.296254232581421,2400.0,1880.0,1.2765957446808511,1280.0,0.6808510638297872,1.875
GraphColouring,0006-graph_colouring-125-0_4800.asp,10027,2681,3.740022,13.987767,52.314563,0.267378,0.071491,0.019115,0.025032,0.782388,0.0,0.949935,1805,0.19248,0.782487,0.782487,AMOCLINGO-L,73.354389,16.42593523613154,4800.0,1880.0,2.5531914893617023,1280.0,0.6808510638297872,3.75
GraphColouring,0006-graph_colouring-125-0_6000.asp,10027,2681,3.740022,13.987767,52.314563,0.267378,0.071491,0.019115,0.025032,0.782388,0.0,0.949935,1805,0.19248,0.782487,0.782487,AMOCLINGO-L,0.738538,3.2486534206770674,6000.0,1880.0,3.1914893617021276,1280.0,0.6808510638297872,4.6875
GraphColouring,0007-graph_colouring-125-0_2400.asp,9655,2619,3.686522,13.590441,50.101455,0.271258,0.073581,0.01996,0.025997,0.780425,0.0,0.948006,1743,0.193475,0.780528,0.780528,AMOCLINGO-L,10.47786,27.422963085973667,2400.0,1880.0,1.2765957446808511,1280.0,0.6808510638297872,1.875
GraphColouring,0007-graph_colouring-125-0_4800.asp,9655,2619,3.686522,13.590441,50.101455,0.271258,0.073581,0.01996,0.025997,0.780425,0.0,0.948006,1743,0.193475,0.780528,0.780528,AMOCLINGO-L,71.552649,16.839383207182166,4800.0,1880.0,2.5531914893617023,1280.0,0.6808510638297872,3.75
