domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,performance_ratio,bound,C2_sum,tightness,C1_mps,rho,mps_ratio
GraphColouring,0031-wgc-n40-d30-p41.asp,2953,822,3.592457,12.90575,46.363359,0.278361,0.077485,0.021569,0.02743,0.775483,0.0,0.945141,541,0.196749,0.775821,0.775821,AMOCLINGO-L,0.6009720000000001,1.7937957176041477,1068.0,3760.0,0.28404255319148936,2560.0,0.6808510638297872,0.4171875
GraphColouring,0034-wgc-n40-d30-p40.asp,3121,850,3.671765,13.481856,49.502203,0.272349,0.074174,0.020201,0.025953,0.778597,0.0,0.948094,569,0.19513,0.778917,0.778917,AMOCLINGO-L,0.5869489999999999,1.2118855300886449,1041.0,3760.0,0.2768617021276596,2560.0,0.6808510638297872,0.406640625
GraphColouring,0035-wgc-n40-d30-p39.asp,2989,828,3.609903,13.031402,47.042104,0.277016,0.076738,0.021258,0.027099,0.776179,0.0,0.945801,547,0.196387,0.776514,0.776514,AMOCLINGO-L,0.670302,1.5764103344462643,1001.0,3760.0,0.26622340425531915,2560.0,0.6808510638297872,0.391015625
GraphColouring,0036-wgc-n40-d30-p39.asp,2881,810,3.55679,12.650756,44.996084,0.281152,0.079047,0.022224,0.028115,0.774037,0.0,0.94377,529,0.197501,0.774384,0.774384,AMOCLINGO-L,0.654571,1.7836674707556552,1001.0,3760.0,0.26622340425531915,2560.0,0.6808510638297872,0.391015625
GraphColouring,0038-wgc-n40-d30-p39.asp,2929,818,3.580685,12.821302,45.909039,0.279276,0.077995,0.021782,0.027654,0.775009,0.0,0.944691,537,0.196996,0.77535,0.77535,AMOCLINGO-L,1.119532,5.8176389777156885,1004.0,3760.0,0.2670212765957447,2560.0,0.6808510638297872,0.3921875
GraphColouring,0039-wgc-n40-d30-p41.asp,2929,818,3.580685,12.821302,45.909039,0.279276,0.077995,0.021782,0.027654,0.775009,0.0,0.944691,537,0.196996,0.77535,0.77535,AMOCLINGO-L,0.587341,1.395552157945725,1051.0,3760.0,0.27952127659574466,2560.0,0.6808510638297872,0.410546875
GraphColouring,0040-wgc-n40-d30-p39.asp,2881,810,3.55679,12.650756,44.996084,0.281152,0.079047,0.022224,0.028115,0.774037,0.0,0.94377,529,0.197501,0.774384,0.774384,AMOCLINGO-L,1.038437,8.512593445726607,1011.0,3760.0,0.2688829787234043,2560.0,0.6808510638297872,0.394921875
GraphColouring,0041-wgc-n40-d50-p28.asp,5113,1182,4.325719,18.711846,80.94219,0.231175,0.053442,0.012354,0.015842,0.799922,0.0,0.968316,901,0.184041,0.800117,0.800117,AMOCLINGO-L,1.2362840000000002,5.7643680578249,721.0,3760.0,0.19175531914893618,2560.0,0.6808510638297872,0.281640625
GraphColouring,0042-wgc-n40-d50-p29.asp,5185,1194,4.342546,18.857706,81.890458,0.23028,0.053029,0.012211,0.015622,0.800386,0.0,0.968756,913,0.183799,0.800579,0.800579,AMOCLINGO-L,1.483373,1.3313320385364975,752.0,3760.0,0.2,2560.0,0.6808510638297872,0.29375
GraphColouring,0043-wgc-n40-d50-p29.asp,5005,1164,4.299828,18.488522,79.497469,0.232567,0.054088,0.012579,0.016184,0.799201,0.0,0.967632,883,0.184416,0.799401,0.799401,AMOCLINGO-L,0.7391430000000001,3.4469216376262777,747.0,3760.0,0.19867021276595745,2560.0,0.6808510638297872,0.291796875
