domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time
GraphColouring,0001-wgc-n20-d30-p19.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.0831679999999999
GraphColouring,0001-wgc-n20-d30-p30.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.087697
GraphColouring,0001-wgc-n20-d30-p41.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.087519
GraphColouring,0001-wgc-n20-d30-p48.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,EOCLINGO-INF-MR,0.51116
GraphColouring,0001-wgc-n20-d30-p59.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,EOCLINGO-INF-MR,0.507215
GraphColouring,0001-wgc-n20-d30-p70.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.086618
GraphColouring,0001-wgc-n20-d30-p8.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.0856529999999999
GraphColouring,0001-wgc-n20-d30-p80.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.0890769999999999
GraphColouring,0001-wgc-n20-d30-p89.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.129
GraphColouring,0002-wgc-n20-d30-p19.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.08651
GraphColouring,0002-wgc-n20-d30-p31.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.084189
GraphColouring,0002-wgc-n20-d30-p39.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.0862309999999999
GraphColouring,0002-wgc-n20-d30-p50.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,AMOCLINGO-L,0.506708
GraphColouring,0002-wgc-n20-d30-p58.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.122614
GraphColouring,0002-wgc-n20-d30-p69.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.090359
GraphColouring,0002-wgc-n20-d30-p79.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,WASP-AMO,0.140231
GraphColouring,0002-wgc-n20-d30-p8.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.087718
GraphColouring,0002-wgc-n20-d30-p91.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.115428
GraphColouring,0003-wgc-n20-d30-p18.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.085987
GraphColouring,0003-wgc-n20-d30-p28.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.0827799999999999
GraphColouring,0003-wgc-n20-d30-p39.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.0891189999999999
GraphColouring,0003-wgc-n20-d30-p48.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.088822
GraphColouring,0003-wgc-n20-d30-p60.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,EOCLINGO-INF-MR,0.504658
GraphColouring,0003-wgc-n20-d30-p71.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,WASP-AMO,0.19197
GraphColouring,0003-wgc-n20-d30-p8.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.083594
GraphColouring,0003-wgc-n20-d30-p81.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.107967
GraphColouring,0003-wgc-n20-d30-p88.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.103449
GraphColouring,0004-wgc-n20-d30-p10.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.086713
GraphColouring,0004-wgc-n20-d30-p20.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.085228
GraphColouring,0004-wgc-n20-d30-p28.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.088409
GraphColouring,0004-wgc-n20-d30-p39.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.08292
GraphColouring,0004-wgc-n20-d30-p50.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,AMOCLINGO-L,0.509484
