domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,bound,C1_mps,C2_sum,C3_minps,span,rho,mps_ratio,minps_ratio,tightness
GraphColouring,0001-wgc-n20-d30-p19.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.0831679999999999,253.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.19765625,6.325,0.1345744680851064
GraphColouring,0001-wgc-n20-d30-p30.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.087697,395.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.30859375,9.875,0.21010638297872342
GraphColouring,0001-wgc-n20-d30-p41.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.087519,526.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.4109375,13.15,0.2797872340425532
GraphColouring,0001-wgc-n20-d30-p48.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,EOCLINGO-INF-MR,0.51116,621.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.48515625,15.525,0.3303191489361702
GraphColouring,0001-wgc-n20-d30-p59.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,EOCLINGO-INF-MR,0.507215,756.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.590625,18.9,0.4021276595744681
GraphColouring,0001-wgc-n20-d30-p70.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.086618,904.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.70625,22.6,0.4808510638297872
GraphColouring,0001-wgc-n20-d30-p8.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.0856529999999999,103.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.08046875,2.575,0.054787234042553194
GraphColouring,0001-wgc-n20-d30-p80.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.0890769999999999,1027.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.80234375,25.675,0.5462765957446809
GraphColouring,0001-wgc-n20-d30-p89.asp,913,322,2.835404,8.039514,22.795269,0.352683,0.124386,0.043869,0.044907,0.733844,0.0,0.910186,181,0.220153,0.73494,0.73494,CLINGO-AMO,0.129,1150.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.8984375,28.75,0.6117021276595744
GraphColouring,0002-wgc-n20-d30-p19.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.08651,247.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.19296875,6.175,0.13138297872340426
GraphColouring,0002-wgc-n20-d30-p31.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.084189,405.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.31640625,10.125,0.2154255319148936
GraphColouring,0002-wgc-n20-d30-p39.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.0862309999999999,503.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.39296875,12.575,0.2675531914893617
GraphColouring,0002-wgc-n20-d30-p50.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,AMOCLINGO-L,0.506708,643.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.50234375,16.075,0.34202127659574466
GraphColouring,0002-wgc-n20-d30-p58.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.122614,748.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.584375,18.7,0.39787234042553193
GraphColouring,0002-wgc-n20-d30-p69.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.090359,883.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.68984375,22.075,0.4696808510638298
GraphColouring,0002-wgc-n20-d30-p79.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,WASP-AMO,0.140231,1017.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.79453125,25.425,0.5409574468085107
GraphColouring,0002-wgc-n20-d30-p8.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.087718,111.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.08671875,2.775,0.059042553191489364
GraphColouring,0002-wgc-n20-d30-p91.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.115428,1172.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.915625,29.3,0.6234042553191489
GraphColouring,0003-wgc-n20-d30-p18.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.085987,240.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.1875,6.0,0.1276595744680851
GraphColouring,0003-wgc-n20-d30-p28.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.0827799999999999,370.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.2890625,9.25,0.19680851063829788
GraphColouring,0003-wgc-n20-d30-p39.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.0891189999999999,509.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.39765625,12.725,0.27074468085106385
GraphColouring,0003-wgc-n20-d30-p48.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.088822,624.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.4875,15.6,0.33191489361702126
GraphColouring,0003-wgc-n20-d30-p60.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,EOCLINGO-INF-MR,0.504658,778.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.6078125,19.45,0.41382978723404257
GraphColouring,0003-wgc-n20-d30-p71.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,WASP-AMO,0.19197,919.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.71796875,22.975,0.4888297872340426
GraphColouring,0003-wgc-n20-d30-p8.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.083594,111.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.08671875,2.775,0.059042553191489364
GraphColouring,0003-wgc-n20-d30-p81.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.107967,1039.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.81171875,25.975,0.5526595744680851
GraphColouring,0003-wgc-n20-d30-p88.asp,733,292,2.510274,6.301475,15.81843,0.398363,0.158693,0.063217,0.055935,0.709413,0.0,0.888131,151,0.233288,0.710778,0.710778,CLINGO-AMO,0.103449,1136.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.8875,28.4,0.6042553191489362
GraphColouring,0004-wgc-n20-d30-p10.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.086713,131.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.10234375,3.275,0.06968085106382979
GraphColouring,0004-wgc-n20-d30-p20.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.085228,265.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.20703125,6.625,0.14095744680851063
GraphColouring,0004-wgc-n20-d30-p28.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.088409,362.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.2828125,9.05,0.1925531914893617
GraphColouring,0004-wgc-n20-d30-p39.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.08292,501.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.39140625,12.525,0.26648936170212767
GraphColouring,0004-wgc-n20-d30-p50.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,AMOCLINGO-L,0.509484,644.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.503125,16.1,0.3425531914893617
GraphColouring,0004-wgc-n20-d30-p61.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,EOCLINGO-INF-MR,0.5070209999999999,780.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.609375,19.5,0.4148936170212766
GraphColouring,0004-wgc-n20-d30-p71.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.319608,918.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.7171875,22.95,0.48829787234042554
GraphColouring,0004-wgc-n20-d30-p80.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.087648,1036.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.809375,25.9,0.551063829787234
GraphColouring,0004-wgc-n20-d30-p89.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.095041,1140.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.890625,28.5,0.6063829787234043
GraphColouring,0005-wgc-n20-d30-p10.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.083969,130.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.1015625,3.25,0.06914893617021277
GraphColouring,0005-wgc-n20-d30-p18.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.083139,238.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.1859375,5.95,0.12659574468085105
GraphColouring,0005-wgc-n20-d30-p29.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.083454,377.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.29453125,9.425,0.20053191489361702
GraphColouring,0005-wgc-n20-d30-p40.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.085001,516.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.403125,12.9,0.274468085106383
GraphColouring,0005-wgc-n20-d30-p49.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,EOCLINGO-INF-MR,0.509286,637.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.49765625,15.925,0.33882978723404256
GraphColouring,0005-wgc-n20-d30-p60.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.2478479999999999,780.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.609375,19.5,0.4148936170212766
GraphColouring,0005-wgc-n20-d30-p70.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.168118,905.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.70703125,22.625,0.48138297872340424
GraphColouring,0005-wgc-n20-d30-p79.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.090282,1021.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.79765625,25.525,0.5430851063829787
GraphColouring,0005-wgc-n20-d30-p91.asp,889,318,2.795597,7.815365,21.848616,0.357705,0.127953,0.045769,0.046119,0.731159,0.0,0.907762,177,0.221597,0.732283,0.732283,CLINGO-AMO,0.091526,1171.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.91484375,29.275,0.622872340425532
GraphColouring,0006-wgc-n20-d30-p11.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.084527,145.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.11328125,3.625,0.07712765957446809
GraphColouring,0006-wgc-n20-d30-p21.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.08523,272.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.2125,6.8,0.14468085106382977
GraphColouring,0006-wgc-n20-d30-p28.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.085886,368.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.2875,9.2,0.19574468085106383
GraphColouring,0006-wgc-n20-d30-p40.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.083347,518.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.4046875,12.95,0.275531914893617
GraphColouring,0006-wgc-n20-d30-p48.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.085476,626.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.4890625,15.65,0.33297872340425533
GraphColouring,0006-wgc-n20-d30-p58.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,AMOCLINGO-L,0.504234,753.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.58828125,18.825,0.400531914893617
GraphColouring,0006-wgc-n20-d30-p69.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.190911,884.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.690625,22.1,0.4702127659574468
GraphColouring,0006-wgc-n20-d30-p79.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,WASP-AMO,0.138419,1016.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.79375,25.4,0.5404255319148936
GraphColouring,0006-wgc-n20-d30-p90.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.105745,1157.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.90390625,28.925,0.6154255319148936
