domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,performance_ratio,bound,C1_mps,C2_sum,C3_minps,span,rho,mps_ratio,minps_ratio,tightness
GraphColouring,0074-wgc-n60-d50-p29.asp,11365,2384,4.767198,22.726177,108.340184,0.209767,0.044002,0.00923,0.010647,0.811263,0.0,0.978707,1963,0.178003,0.811351,0.811351,EOCLINGO-L,1.055746,1.3311715128449455,1149.0,3840.0,5640.0,120.0,3720.0,0.6808510638297872,0.29921875,9.575,0.20372340425531915
GraphColouring,0087-wgc-n60-d70-p59.asp,14989,2988,5.016399,25.164258,126.233958,0.199346,0.039739,0.007922,0.008073,0.816599,0.0,0.983855,2567,0.175262,0.816666,0.816666,CLINGO-AMO,0.5845779999999999,1.238147860507922,2267.0,3840.0,5640.0,120.0,3720.0,0.6808510638297872,0.5903645833333333,18.891666666666666,0.40195035460992906
GraphColouring,0090-wgc-n60-d70-p49.asp,15073,3002,5.020986,25.210301,126.580566,0.199164,0.039666,0.0079,0.008028,0.816692,0.0,0.983945,2581,0.175214,0.816758,0.816758,CLINGO-AMO,0.533946,1.361800631524536,1885.0,3840.0,5640.0,120.0,3720.0,0.6808510638297872,0.4908854166666667,15.708333333333334,0.3342198581560284
GraphColouring,0090-wgc-n60-d70-p59.asp,15073,3002,5.020986,25.210301,126.580566,0.199164,0.039666,0.0079,0.008028,0.816692,0.0,0.983945,2581,0.175214,0.816758,0.816758,CLINGO-AMO,0.549411,1.3227893143748488,2274.0,3840.0,5640.0,120.0,3720.0,0.6808510638297872,0.5921875,18.95,0.4031914893617021
GraphColouring,0094-wgc-n80-d30-p89.asp,11545,2574,4.485237,20.117351,90.231086,0.222954,0.049708,0.011083,0.013945,0.804677,0.0,0.972109,2013,0.181291,0.804764,0.804764,CLINGO-AMO,0.55636,1.216440793730678,4560.0,5120.0,7520.0,160.0,4960.0,0.6808510638297872,0.890625,28.5,0.6063829787234043
GraphColouring,0103-wgc-n80-d50-p58.asp,19741,3940,5.010406,25.104169,125.782082,0.199585,0.039834,0.00795,0.008156,0.816575,0.0,0.983689,3379,0.175219,0.816625,0.816625,CLINGO-AMO,0.540516,1.4966291469632722,3018.0,5120.0,7520.0,160.0,4960.0,0.6808510638297872,0.589453125,18.8625,0.40132978723404256
GraphColouring,0109-wgc-n80-d50-p88.asp,19429,3888,4.997171,24.971716,124.787929,0.200113,0.040045,0.008014,0.008287,0.816306,0.0,0.983427,3327,0.175356,0.816357,0.816357,CLINGO-AMO,0.539613,1.476309873928167,4541.0,5120.0,7520.0,160.0,4960.0,0.6808510638297872,0.8869140625,28.38125,0.6038563829787233
GraphColouring,0110-wgc-n80-d50-p60.asp,19429,3888,4.997171,24.971716,124.787929,0.200113,0.040045,0.008014,0.008287,0.816306,0.0,0.983427,3327,0.175356,0.816357,0.816357,CLINGO-AMO,0.6327320000000001,1.2619703128654784,3074.0,5120.0,7520.0,160.0,4960.0,0.6808510638297872,0.600390625,19.2125,0.40877659574468084
GraphColouring,0115-wgc-n80-d70-p49.asp,27577,5246,5.256767,27.6336,145.263398,0.190231,0.036188,0.006884,0.005838,0.821337,0.0,0.988324,4685,0.172789,0.821373,0.821373,CLINGO-AMO,0.659452,1.4134175042307855,2519.0,5120.0,7520.0,160.0,4960.0,0.6808510638297872,0.4919921875,15.74375,0.33497340425531913
GraphColouring,0118-wgc-n80-d70-p51.asp,27205,5184,5.247878,27.540224,144.52774,0.190553,0.036311,0.006919,0.005918,0.821173,0.0,0.988164,4623,0.172873,0.821209,0.821209,CLINGO-AMO,0.625792,1.4817575168746164,2653.0,5120.0,7520.0,160.0,4960.0,0.6808510638297872,0.5181640625,16.58125,0.3527925531914894
GraphColouring,0122-wgc-n100-d30-p79.asp,18361,3870,4.744444,22.509753,106.796273,0.210773,0.044425,0.009364,0.010947,0.810958,0.0,0.978106,3169,0.17804,0.811012,0.811012,CLINGO-AMO,0.501551,1.5767469310199762,5061.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.79078125,25.305,0.5384042553191489
GraphColouring,0123-wgc-n100-d30-p78.asp,18709,3928,4.762984,22.686014,108.053114,0.209952,0.04408,0.009255,0.010743,0.811374,0.0,0.978513,3227,0.177829,0.811428,0.811428,CLINGO-AMO,0.592754,1.341279856399113,4992.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.78,24.96,0.531063829787234
GraphColouring,0124-wgc-n100-d30-p39.asp,18517,3896,4.752823,22.58933,107.363098,0.210401,0.044269,0.009314,0.010855,0.811147,0.0,0.97829,3195,0.177945,0.811201,0.811201,EOCLINGO-L,0.79864,9.21261143944706,2501.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.39078125,12.505,0.26606382978723403
GraphColouring,0124-wgc-n100-d30-p79.asp,18517,3896,4.752823,22.58933,107.363098,0.210401,0.044269,0.009314,0.010855,0.811147,0.0,0.97829,3195,0.177945,0.811201,0.811201,CLINGO-AMO,0.554518,1.4401732675945598,5079.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.79359375,25.395,0.5403191489361702
GraphColouring,0126-wgc-n100-d30-p11.asp,18445,3884,4.74897,22.552717,107.102181,0.210572,0.044341,0.009337,0.010897,0.81106,0.0,0.978205,3183,0.177989,0.811114,0.811114,WASP-AMO,0.539198,1.4652687880889763,761.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.11890625,3.805,0.08095744680851064
GraphColouring,0127-wgc-n100-d30-p39.asp,18625,3914,4.758559,22.643884,107.752258,0.210148,0.044162,0.009281,0.010792,0.811275,0.0,0.978416,3213,0.177879,0.811329,0.811329,AMOCLINGO-L,2.631647,1.7272605330426154,2517.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.39328125,12.585,0.26776595744680853
GraphColouring,0128-wgc-n100-d30-p79.asp,18397,3876,4.746388,22.528199,106.927576,0.210687,0.044389,0.009352,0.010926,0.811002,0.0,0.978149,3175,0.178018,0.811056,0.811056,CLINGO-AMO,0.5705020000000001,1.3840109237128002,5116.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.799375,25.58,0.5442553191489362
GraphColouring,0129-wgc-n100-d30-p38.asp,18409,3878,4.747035,22.534337,106.971277,0.210658,0.044377,0.009348,0.010919,0.811016,0.0,0.978163,3177,0.178011,0.811071,0.811071,EOCLINGO-L,0.792297,9.584012056085026,2451.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.38296875,12.255,0.26074468085106384
GraphColouring,0129-wgc-n100-d30-p51.asp,18409,3878,4.747035,22.534337,106.971277,0.210658,0.044377,0.009348,0.010919,0.811016,0.0,0.978163,3177,0.178011,0.811071,0.811071,EOCLINGO-L,0.871474,1.3323931637662167,3298.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.5153125,16.49,0.35085106382978726
